treatment,hpf,stage,fitted_count,control_fitted,diff_from_control,Stage
low,4,n_egg,0.6083517803296953,0.6525945918578433,-0.04424281152814802,Egg
low,4,n_cleavage,0.20284797624772005,0.14318002437894337,0.059667951868776686,Cleavage
low,4,n_morula,0.18854980717245726,0.20413017490577154,-0.015580367733314282,Morula
low,4,n_prawnchip,1.3248204398184414e-8,1.3523280212018026e-8,-2.7507581383361156e-10,Prawnchip
low,4,n_earlygastrula,1.3248202640156723e-8,1.3523276442499164e-8,-2.75073802342441e-10,Early gastrula
mid,4,n_egg,0.5979096929672536,0.6525945918578433,-0.054684898890589695,Egg
mid,4,n_cleavage,0.17982276921578905,0.14318002437894337,0.03664274483684568,Cleavage
mid,4,n_morula,0.22221353562840593,0.20413017490577154,0.01808336072263439,Morula
mid,4,n_prawnchip,1.501602933027503e-8,1.3523280212018026e-8,1.4927491182570044e-9,Prawnchip
mid,4,n_earlygastrula,1.5016030082707417e-8,1.3523276442499164e-8,1.4927536402082534e-9,Early gastrula
high,4,n_egg,0.6829134904182284,0.6525945918578433,0.030318898560385055,Egg
high,4,n_cleavage,0.13105061060417547,0.14318002437894337,-0.012129413774767894,Cleavage
high,4,n_morula,0.1857419639490298,0.20413017490577154,-0.01838821095674173,Morula
high,4,n_prawnchip,1.4109182796329568e-8,1.3523280212018026e-8,5.859025843115418e-10,Prawnchip
high,4,n_earlygastrula,1.4109182660971329e-8,1.3523276442499164e-8,5.85906218472165e-10,Early gastrula
low,9,n_egg,2.8029081954889353e-8,0.0664500217285706,-0.06644999369948865,Egg
low,9,n_cleavage,2.8029081954889353e-8,0.007722272031155766,-0.007722244002073811,Cleavage
low,9,n_morula,0.05550261573003014,0.09136198317113872,-0.03585936744110858,Morula
low,9,n_prawnchip,0.9516129032258075,0.8515625000000053,0.10005040322580216,Prawnchip
low,9,n_earlygastrula,2.8029081954889052e-8,3.2400165424176566e-8,-4.3710834692875135e-9,Early gastrula
mid,9,n_egg,0.04692244686638357,0.0664500217285706,-0.019527574862187036,Egg
mid,9,n_cleavage,2.740537697104494e-8,0.007722272031155766,-0.007722244625778795,Cleavage
mid,9,n_morula,0.036112907199225,0.09136198317113872,-0.055249075971913725,Morula
mid,9,n_prawnchip,0.9124087591240909,0.8515625000000053,0.06084625912408559,Prawnchip
mid,9,n_earlygastrula,2.740537697104465e-8,3.2400165424176566e-8,-4.9947884531319165e-9,Early gastrula
high,9,n_egg,0.11886471889270257,0.0664500217285706,0.05241469716413197,Egg
high,9,n_cleavage,2.8744136826958425e-8,0.007722272031155766,-0.007722243287018939,Cleavage
high,9,n_morula,2.8744136826958425e-8,0.09136198317113872,-0.0913619544270019,Morula
high,9,n_prawnchip,0.8677685950413244,0.8515625000000053,0.01620609504131909,Prawnchip
high,9,n_earlygastrula,2.8744136826958322e-8,3.2400165424176566e-8,-3.6560285972182435e-9,Early gastrula
low,14,n_egg,0.008270252097444683,3.372935189803288e-8,0.008270218368092785,Egg
low,14,n_cleavage,3.0703443399449024e-8,3.372935195437525e-8,-3.0259085549262244e-9,Cleavage
low,14,n_morula,3.0703443399449024e-8,0.009833703812818756,-0.009833673109375357,Morula
low,14,n_prawnchip,0.016528925619834812,0.07339449541284433,-0.056865569793009524,Prawnchip
low,14,n_earlygastrula,0.9752066115702468,0.9174311926605608,0.05777541890968596,Early gastrula
mid,14,n_egg,2.7453373357854335e-8,3.372935189803288e-8,-6.2759785401785455e-9,Egg
mid,14,n_cleavage,2.7453373357854335e-8,3.372935195437525e-8,-6.275978596520914e-9,Cleavage
mid,14,n_morula,2.745337335785414e-8,0.009833703812818756,-0.009833676359445398,Morula
mid,14,n_prawnchip,2.745337335785414e-8,0.07339449541284433,-0.07339446795947098,Prawnchip
mid,14,n_earlygastrula,0.9999999999999976,0.9174311926605608,0.08256880733943672,Early gastrula
high,14,n_egg,0.010836596642682625,3.372935189803288e-8,0.010836562913330726,Egg
high,14,n_cleavage,4.281708737281164e-8,3.372935195437525e-8,9.087735418436393e-9,Cleavage
high,14,n_morula,4.281708737281149e-8,0.009833703812818756,-0.009833660995731384,Morula
high,14,n_prawnchip,0.0752688172043014,0.07339449541284433,0.0018743217914570648,Prawnchip
high,14,n_earlygastrula,0.9139784946236539,0.9174311926605608,-0.0034526980369069538,Early gastrula
